txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0xa05dc301a1e95ecd561b26df246fe615d176293fa0c094454590255d8c41b642,376584,Aquatic,3,"0,0009","1,46",2023-09-17 22:57:52,0,0,0,1,False,eyes-clear,ears-bubblemaker,back-raven,mouth-goda,horn-kestrel,tail-post-fight,0,0
0xf0ed84d83cb1096dbccdd7624bc0b53385c8291600550cd0a8dfe05067338e2b,11086632,Bird,3,"0,0095","15,39",2023-09-17 22:57:49,0,0,0,1,False,eyes-mavis,ears-curly,back-tri-feather,mouth-peace-maker,horn-eggshell,tail-the-last-one,0,0
0xcb9b661aa2f23b023c5a06f63e0800af0ee02dac6940a1144a193d0deb7a529c,11867725,Mech,5,"0,01917392","31,06",2023-09-17 22:57:34,0,0,0,3,False,eyes-topaz,ears-innocent-lamb,back-garish-worm,mouth-square-teeth,horn-babylonia,tail-nimo,0,0
0x0440e121cea16db9de6589bc39e824dd7cf345906a72c55a277e47a1143da2dc,762281,Bug,3,"0,001","1,62",2023-09-17 22:56:55,0,0,0,1,False,eyes-kotaro,ears-ear-breathing,back-snail-shell,mouth-pincer,horn-antenna,tail-fish-snack,0,0
0x9a3c0e980f53a17919e0e2fb9cd60f37077c3b0e9e9936bdeef1a73a9865e62e,248806,Bug,5,"0,0027","4,37",2023-09-17 22:56:31,0,0,0,1,False,eyes-neo,ears-larva,back-snail-shell,mouth-pincer,horn-parasite,tail-fish-snack,0,0
0x8e9427fc1d1ad856d5e08c878e1e1d5d5b22ddb2d55b9a73f9a385d13ef97b40,11672048,Dawn,2,"0,0021","3,4",2023-09-17 22:56:25,0,0,0,1,False,eyes-little-peas,ears-innocent-lamb,back-tri-feather,mouth-axie-kiss,horn-dual-blade,tail-cottontail,0,0
0xa8650da66568c96065f695ebf53e456ab01210c3bd523fb7ea902d9167dffa86,6328880,Beast,3,"0,00249","4,03",2023-09-17 22:55:46,0,0,0,1,False,eyes-scar,ears-sidebarb,back-risky-beast,mouth-goda,horn-merry,tail-rice,0,0
0x9a04419ff2f3377a509d51766d43509fb053b25f77c9270e9af40618ba47bced,11397222,Aquatic,0,"0,004","6,48",2023-09-17 22:55:34,0,0,0,1,False,eyes-little-owl,ears-seaslug,back-goldfish,mouth-bubble-fish,horn-cactus,tail-post-fight,1,0
0x9ed17851d75ee1328d1eb858bccc5d5c4e0dd7fe7790f05d2f0264f47739ea21,11849594,Dawn,3,"0,00323359","5,24",2023-09-17 22:55:10,0,0,0,1,False,eyes-tricky,ears-innocent-lamb,back-kingfisher,mouth-silence-whisper,horn-bumpy,tail-twin-tail,0,0
0xe313bc798f3bb35ac33a324fb7993de0ad09aef29591fb4f4bb9398bf0e0c1f9,8033816,Aquatic,0,"0,0025","4,05",2023-09-17 22:55:04,0,0,0,9,True,eyes-telescope,ears-inkling,back-goldfish,mouth-lam,horn-oranda,tail-koi,0,0
0x9a65e5b7ba35edea4bf0541be1c25e7203e1ca4bebcecc07100cbeb5b289a6b9,11766760,Reptile,0,"0,014","22,68",2023-09-17 22:54:49,0,0,0,10,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-parasite,tail-tadpole,0,0
0x81dd55199a58cd23eec78e654b781d3f26c349d9d5781c5f28c10160449b59c7,389463,Plant,3,"0,0009","1,46",2023-09-17 22:54:46,0,0,0,1,False,eyes-confused,ears-lotus,back-pumpkin,mouth-serious,horn-eggshell,tail-carrot,0,0
0xe568b0fe75807c625f41024510b2a8d2497af9bf724f1f3b0b1774b749a157ef,11781466,Dusk,4,"0,014","22,68",2023-09-17 22:53:49,0,0,0,5,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-shoal-star,tail-cottontail,0,0
0x70e3e32d03046e89ba1536998b0d5f578a3fd49c7b9e3a0212959b8e1426741c,547805,Aquatic,2,"0,00089741","1,45",2023-09-17 22:53:40,0,0,0,1,False,eyes-clear,ears-gill,back-goldfish,mouth-nut-cracker,horn-merry,tail-nimo,0,0
0xad80b4efd13c7cc17d3c07d7e2c4864b0616d02623d6a8bf7d7c3f054abab5b1,3260093,Reptile,4,"0,0032","5,18",2023-09-17 22:52:55,0,0,0,2,False,eyes-tricky,ears-ear-breathing,back-snail-shell,mouth-tiny-turtle,horn-lagging,tail-thorny-caterpillar,0,0
0x7c7d86f0830b4bce9c9f7d2773ef3e46b69ab0708eae48ffdd95b6206ea1e8b5,405936,Aquatic,3,"0,0009","1,46",2023-09-17 22:52:55,0,0,0,1,False,eyes-neo,ears-tiny-fan,back-goldfish,mouth-catfish,horn-clamshell,tail-navaga,0,0
0x8b2aa419911a44c9df15fbe68b1b061d27f448497a00ffe7d2418873b9cc8819,6208188,Beast,0,"0,00254","4,11",2023-09-17 22:52:28,0,0,0,10,False,eyes-chubby,ears-nut-cracker,back-cupid,mouth-nut-cracker,horn-pocky,tail-ranchu,0,0
0x0f492ecf6bd7ae206aae4148865a222e13f6c313f2afea328f32c15337482cc1,11687026,Aquatic,0,"0,00254","4,11",2023-09-17 22:52:04,0,0,0,9,True,eyes-sleepless,ears-inkling,back-goldfish,mouth-herbivore,horn-eggshell,tail-nimo,0,0
0xb00a2ea7e469d6ef5c76180c9513ef0c4e1666dbc360592053459d18dc499567,11831637,Dusk,4,"0,014","22,68",2023-09-17 22:52:01,0,0,0,8,False,eyes-papi,ears-inkling,back-garish-worm,mouth-doubletalk,horn-parasite,tail-tadpole,0,0
0x306efe57e2a7ec9df57a8c8bf324828771bb0807a2d3f24c11b9a55ee47dcf8a,423398,Aquatic,3,"0,0009","1,46",2023-09-17 22:51:43,0,0,0,1,False,eyes-mavis,ears-gill,back-goldfish,mouth-hungry-bird,horn-kestrel,tail-nimo,0,0
0x02a9607750d4176a15a6f757d75863cc8ba0b0ab63c8d3b350dbec21e491b6c7,423410,Aquatic,3,"0,0009","1,46",2023-09-17 22:51:01,0,0,0,1,False,eyes-mavis,ears-gill,back-goldfish,mouth-hungry-bird,horn-shoal-star,tail-nimo,0,0
0xf8baa4ee80ff8fc35910c0e2871e269ddaffd35fd21329521529f58427711fe9,423430,Aquatic,3,"0,0009","1,46",2023-09-17 22:50:19,0,0,0,1,False,eyes-nerdy,ears-inkling,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-post-fight,0,0
